artist,born-died,period,school,url,base,nationality
"ANCHER, Michael Peter",(1849-1927),Realism,painter,https://www.wga.hu/html/a/ancher/michael/index.html,Skagen,Danish
"ANCONA, Vito d'",(1825-1884),Realism,painter,https://www.wga.hu/html/a/ancona/index.html,Florence,Italian
"ANDERSON, William",(1757-1837),Romanticism,painter,https://www.wga.hu/html/a/anderson/index.html,London,Scottish
ANDREA DA FIRENZE,(active 1343-1377),Medieval,painter,https://www.wga.hu/html/a/andrea/firenze/index.html,Florence,Italian
ANDREA DA MURANO,(known 1462-1502),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/murano/index.html,Venice,Italian
ANDREA DEL CASTAGNO,(1423-1457),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/castagno/index.html,Florence,Italian
ANDREA DEL SARTO,(1486-1530),High Renaissance,painter,https://www.wga.hu/html/a/andrea/sarto/index.html,Florence,Italian
ANDREA DI BARTOLO,(1360/70-1428),Early Renaissance,painter,https://www.wga.hu/html/a/andrea/bartolo/index.html,Siena,Italian
ANDREA DI JACOPO D'OGNABENE,(active 1286-1317),Medieval,goldsmith,https://www.wga.hu/html/a/andrea/jacopo/index.html,Italy,Italian
ANDREA DI NERIO,(active 1350s-before 1387),Medieval,painter,https://www.wga.hu/html/a/andrea/nerio/index.html,Arezzo,Italian
ANDREA di Vanni d'Andrea,(c. 1332-1414),Medieval,painter,https://www.wga.hu/html/a/andrea/vanni/index.html,Siena,Italian
"ANDREANI, Andrea",(c. 1558-c. 1629),Mannerism,graphic,https://www.wga.hu/html/a/andreani/index.html,Italy,Italian
"ANDREESCU, Ion",(1850-1882),Impressionism,painter,https://www.wga.hu/html/a/andreesc/index.html,Bucharest,Other
"ANDREOLI, Giorgio",(c. 1465-1553),High Renaissance,potter,https://www.wga.hu/html/a/andreoli/index.html,Gubbio,Italian
"ANDRIESSEN, Hendrick",(1607-1655),Baroque,painter,https://www.wga.hu/html/a/andries/index.html,Antwerp,Flemish
"ANDRIESSEN, Jurriaan",(1742-1819),Rococo,painter,https://www.wga.hu/html/a/andriess/index.html,Amsterdam,Dutch
"ANDROUET DU CERCEAU, Jacques the Elder",(c. 1515-1584),Mannerism,graphic,https://www.wga.hu/html/a/androuet/jacques/index.html,France,French
"ANDROUET DU CERCEAU, Jean",(c. 1585-1649),Baroque,architect,https://www.wga.hu/html/a/androuet/jean/index.html,Paris,French
"ANDRÉ, Émile",(1871-1933),Art Nouveau,architect,https://www.wga.hu/html/a/andre/index.html,Nancy,French
"ANESI, Paolo",(1697-1773),Baroque,painter,https://www.wga.hu/html/a/anesi/index.html,Rome,Italian
"ANGEL, Pedro",(active 1583-1617),Baroque,graphic,https://www.wga.hu/html/a/angel/index.html,Spain,Spanish
"ANGELI, Giuseppe",(1712-1798),Baroque,painter,https://www.wga.hu/html/a/angeli/index.html,Venice,Italian
"ANGELICO, Fra",(c. 1400-1455),Early Renaissance,painter,https://www.wga.hu/html/a/angelico/index.html,Florence,Italian
"ANGELLINI, Francesco Maria",(1680-1731),Baroque,architect,https://www.wga.hu/html/a/angellin/index.html,Bologna,Italian
"ANGELLIS, Pieter",(1685-1734),Rococo,painter,https://www.wga.hu/html/a/angellis/index.html,Flanders,Flemish
ANGELO DA ORVIETO,(active 1317-1352),Medieval,architect,https://www.wga.hu/html/a/angelo_o/index.html,Italy,Italian
ANGELO DA SIENA,(active 1447-1456),Early Renaissance,painter,https://www.wga.hu/html/a/angelo_s/index.html,Ferrara,Italian
ANGELO DI NALDUCCIO,(active 1342-1389),Medieval,sculptor,https://www.wga.hu/html/a/angelo/index.html,Siena,Italian
ANGELUCCIO,(c. 1620-c. 1650),Baroque,painter,https://www.wga.hu/html/a/angelucc/index.html,Rome,Italian
"ANGERMAYER, Johann Adalbert",(1674-1740),Baroque,painter,https://www.wga.hu/html/a/angermay/index.html,Prague,Bohemian
"ANGOLO DEL MORO, Giulio dell'",(1555-1616),Mannerism,sculptor,https://www.wga.hu/html/a/angolo/index.html,Venice,Italian
"ANGRAND, Charles",(1854-1926),Impressionism,painter,https://www.wga.hu/html/a/angrand/index.html,France,French
"ANGUIER, François",(1604-1669),Baroque,sculptor,https://www.wga.hu/html/a/anguier/francois/index.html,France,French
"ANGUIER, Michel",(c. 1613-1686),Baroque,sculptor,https://www.wga.hu/html/a/anguier/michel/index.html,France,French
"ANGUISSOLA, Lucia",(1538-1565),Mannerism,painter,https://www.wga.hu/html/a/anguisso/lucia/index.html,Cremona,Italian
"ANGUISSOLA, Sofonisba",(c. 1530-1625),Mannerism,painter,https://www.wga.hu/html/a/anguisso/sofonisb/index.html,Cremona,Italian
ANQUETIN. Louis,(1861-1932),Impressionism,painter,https://www.wga.hu/html/a/anquetin/index.html,Paris,French
"ANSALDO, Giovanni Andrea",(1584-1638),Baroque,painter,https://www.wga.hu/html/a/ansaldo/index.html,Genoa,Italian
"ANSELMI, Michelangelo",(c. 1492-1556),High Renaissance,painter,https://www.wga.hu/html/a/anselmi/index.html,Parma,Italian
ANSELMO DA CAMPIONE,(active 1160-1209),Medieval,sculptor,https://www.wga.hu/html/a/anselmo/index.html,Modena,Italian
"ANTELAMI, Benedetto",(active 1170-1230),Medieval,sculptor,https://www.wga.hu/html/a/antelami/index.html,Parma,Italian
"ANTHONISZ, Aert",(1579/80-1620),Baroque,painter,https://www.wga.hu/html/a/anthoni/index.html,Netherlands,Dutch
"ANTHONISZ, Cornelis",(c. 1499-c. 1555),Northern Renaissance,graphic,https://www.wga.hu/html/a/anthonis/index.html,Amsterdam,Dutch
ANTICO,(c. 1460-1528),Early Renaissance,sculptor,https://www.wga.hu/html/a/antico/index.html,Mantua,Italian
"ANTIGNA, Alexandre",(1817-1878),Romanticism,painter,https://www.wga.hu/html/a/antigna/index.html,Paris,French
"ANTOINE, Jacques-Denis",(1733-1801),Neoclassicism,architect,https://www.wga.hu/html/a/antoine/index.html,Paris,French
"ANTOLINEZ, Francisco",(1644-1700),Baroque,painter,https://www.wga.hu/html/a/antoline/francisc/index.html,Seville,Spanish
